ID,Artist,Song,BPM,Key,Notes,Key_Scalar
1,100 gecs,geccraft,84,8A,BPM: 84.5/169,7
2,100 gecs,money machine,99,8A,umru remix; drake - forever,7
3,2 Mello,BREAK DOWN BREAK UP,144,8A,Ablues,7
4,21 Savage & Metro Boomin,No Heart,140,8A,,7
5,3 Doors Down,When I'm Gone,148,8A,,7
6,+44,When Your Heart Stops Beating,85,8A,BPM: 85/170,7
7,A. G. Cook,Illuminated Biker Gang,95,8A,,7
8,A. G. Cook ft. Sarah Bonito & Hannah Diamond,The Darkness pt2,85,8A,BPM: 85/170; Megamix,7
9,A. G. Cook & Cecile Believe,𝟹G,136,8A,,7
10,A Touch Of Class,Around the World,132,8A,La La La La La; lalala,7
11,ABBA,"Money, Money, Money",122,8A,BPM: ~122,7
12,ABC,King Without A Crown,107,8A,,7
13,AC/DC,Hells Bells,106,8A,BPM: ~106,7
14,AC/DC,Have a Drink on Me,122,8A,BPM: ~122; Ablues,7
15,AC/PC,STAIRWAY TO HEAVEN,87,8A,BPM: 87/174,7
16,Adame DJ,Beat Maquinario,135,8A,Aphr,7
17,Addison Rae,New York,148,8A,kick drum,7
18,Addison Rae,Fame is a Gun,138,8A,A~A#min,7
19,Addison Rae,Times Like These,110,8A,"Amin verse, Adr chorus",7
20,Aesop Rock,Costco,80,8A,BPM: 80/160; Aphr,7
21,AJR,Burn The House Down,92,8A,,7
22,Akon ft. Snoop Dogg,I Wanna Love You,100,8A,i wanna fuck you; you already know,7
23,Ahadadream x Priya Ragu x Skrillex,TAKA,128,8A,we feelin ok,7
24,Alcazar,Crying At The Discoteque,138,8A,,7
25,"Alesso, Katy Perry",When I'm Gone,125,8A,,7
26,ali rq ft. goldilux,love you bye,150,8A,some Fmin,7
27,Alice Longyu Gao,Rich Bitch Juice,81,8A,BPM: ~81/162; Count Baldor Remix,7
28,Alice Longyu Gao,Quarantine Rly Sucks,120,8A,Gupi Remix,7
29,Alice Longyu Gao,Underrated Popstar,82,8A,BPM: 82/164,7
30,Alice Longyu Gao,Come 2 Brazil,90,8A,,7
31,Alien Ant Farm,Smooth Criminal,126,8A,BPM: ~126,7
32,Aliyah's Interlude,Fashion Icon,138,8A,Aphrdom,7
33,Alnaht,Wrong,123,8A,,7
34,Ambassadors of Funk ft. M. C. Mario,Supermarioland,120,8A,"Super Mario Land; Aphr, some Amin, chorus is Cmaj",7
35,Ampzer,MC,100,8A,,7
36,Amy Winehouse,You Know I'm No Good,104,8A,"Aharm, Dharm verses",7
37,Amyl and The Sniffers,70's Street Munchies,89,8A,BPM: ~89; Ablues,7
